wp_number,date,title,author,abstract,program,topics,year,Economics_of_Aging,Asset_Pricing,Children_and_Families,Corporate_Finance,Development_Economics,Development_of_the_American_Economy,Economic_Fluctuations_and_Growth,Economics_of_Education,Economics_of_Health,Environment_and_Energy_Economics,Industrial_Organization,International_Finance_and_Macroeconomics,International_Trade_and_Investment,Labor_Studies,Law_and_Economics,Monetary_Economics,Political_Economy,Public_Economics,Entrepreneurship
32149,2024-02-19,A Cognitive Foundation for Perceiving Uncertainty,"J. Aislinn Bohren, Josh Hascher, Alex Imas, Michael Ungeheuer, Martin Weber","We propose a framework where perceptions of uncertainty are driven by the interaction between cognitive constraints and the way that people learn about it—whether information is presented sequentially or simultaneously. People can learn about uncertainty by observing the distribution of outcomes all at once (e.g., seeing a stock return distribution) or sampling outcomes from the relevant distribution sequentially (e.g., experiencing a series of stock returns). Limited attention leads to the overweighting of unlikely but salient events—the dominant force when learning from simultaneous information—whereas imperfect recall leads to the underweighting of such events—the dominant force when learning sequentially. A series of studies show that, when learning from simultaneous information, people are overoptimistic about and are attracted to assets that mostly underperform, but sporadically exhibit large outperformance. However, they overwhelmingly select more consistently outperforming assets when learning the same information sequentially, and this is reflected in beliefs. The entire 40-percentage point preference reversal appears to be driven by limited attention and memory; manipulating these factors completely eliminates the effect of the learning environment on choices and beliefs, and can even reverse it.",Asset Pricing,"Microeconomics, Behavioral Economics, Financial Economics, Behavioral Finance",2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32150,2024-02-19,Trade War and Peace: U.S.-China Trade and Tariff Risk from 2015–2050,"George A. Alessandria, Shafaat Y. Khan, Armen Khederlarian, Kim J. Ruhl, Joseph B. Steinberg","We use U.S. import dynamics and a dynamic exporting model to estimate how expectations about U.S. tariffs on China have changed around the U.S.-China trade war. We find (i) there was no increase in the likelihood of a trade war before 2018; (ii) the trade war was initially expected to end quickly, but its expected duration grew substantially after 2020; and (iii) the trade war reduced the likelihood that China would face Non-normal Trade Relations tariffs in the future. Our findings imply that the expected mean future U.S. tariff on China rose more under President Biden than under President Trump.","International Finance and Macroeconomics
International Trade and Investment","International Economics, Trade",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32151,2024-02-19,The Essential Role of Altruism in Medical Decision Making,"Paul Gertler, Ada Kwan","Patients rely on medical care providers to act in their best interests because providers understand disease pathology and appropriate treatment much better than patients. Providers, however, not only give advice (diagnose) but also deliver (sell) treatments based on that advice. This creates a moral hazard dilemma where provider financial interests can diverge from patient interests, especially when providers are motivated more by profits than by altruism. We investigate how profit motivated versus altruistic preferences influence medical care decision making in the context of malaria in Kenya. We measured the appropriateness of care using data from an audit study that employed standardized patients (SP) who were trained to present as real patients the identical clinical case scenario to providers. The SPs were confirmed to be malaria negative before and after field work with a very reliable and sensitive blood test at a high-quality laboratory. We measured provider preferences using a lab in the field, real stakes, modified version of the dictator game. We find that more profit-motivated providers report higher rates of false-positive malaria test results than do more altruistic providers. Specifically, purely profit motivated providers report 30 percentage points more positives than providers who are altruistically motivated, and providers likely knew that the positive results that they reported to their patients were false. We also find that more profit motivated providers sold more unnecessary antimalarial drugs than did more altruistic providers. Based on mediation analysis, more profit-oriented providers sold more drugs not only because they knowingly reported more false positives, but also because they promoted drugs sales more conditional on a positive test result. Thus, profit motivated providers seem to have misrepresented test results to sell more unnecessary malaria-related drugs.","Development Economics
Economics of Health
Labor Studies","Health, Education, and Welfare, Health",2024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32152,2024-02-19,Smooth Diagnostic Expectations,"Francesco Bianchi, Cosmin L. Ilut, Hikaru Saijo","We introduce “smooth diagnosticity.” Under smooth diagnosticity, agents over-react to new information defined as the difference between the current information set and a previous information set. Since new information typically changes not just the conditional mean, but also the conditional uncertainty, changes in uncertainty surrounding current and past beliefs affect the severity of the Diagnostic Expectations (DE) distortion. Smooth DE nests the baseline DE of Bordalo et al. (2018) and implies a joint and parsimonious micro-foundation for various properties of survey data: (1) over-reaction of conditional mean to news, (2) stronger over-reaction for weaker signals and longer forecast horizons, and (3) over-confidence in subjective uncertainty. We embed Smooth DE in an analytical RBC model. The model accounts for over-reaction and over-confidence in surveys, as well as three salient properties of the business cycle: (1) asymmetry, (2) countercyclical micro volatility, and (3) countercyclical macro volatility.","Economic Fluctuations and Growth
Monetary Economics","Microeconomics, Behavioral Economics, Macroeconomics, Business Cycles",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32153,2024-02-19,Taxing Top Wealth: Migration Responses and their Aggregate Economic Implications,"Katrine Jakobsen, Henrik Kleven, Jonas Kolsrud, Camille Landais, Mathilde Muñoz","Do wealth taxes lead to a harmful exodus of wealthy taxpayers? Using administrative data on wealth, firm ownership structure, and migration in Sweden and Denmark, we estimate international migration responses to wealth taxation and evaluate the aggregate economic implications of tax-induced migration. Exploiting three large reforms, we find significant migration responses to wealth taxes among the wealthy. We then investigate individual-level, firm-level, and market-level effects of these migration responses. A large fraction of wealthy taxpayers are business owners, and the employment, investments, and value-added of these businesses are negatively affected by owner out-migration. Nevertheless, the aggregate consequences of these effects are modest. We estimate that migration responses to a 1pp increase in the top wealth tax rate decrease the stock of wealthy taxpayers by less than 2% in the long run, and lead to a reduction of 0.05% in aggregate employment, 0.07% in aggregate investment, and 0.13% in aggregate value-added. Hence, our results demonstrate that trickle-down effects of tax-induced migration by the wealthy do exist, but that they are quantitatively small.","Corporate Finance
Labor Studies
Public Economics
Productivity, Innovation, and Entrepreneurship","Microeconomics, Market Structure and Distribution, Macroeconomics, Consumption and Investment, Public Economics, Taxation, Industrial Organization, Firm Behavior",2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
32154,2024-02-19,Gender Differences in Negotiations and Labor Market Outcomes: Evidence from an Information Intervention with College Students,"Patricia Cortés, Jacob French, Jessica Pan, Basit Zafar","We assess the role of information gaps in understanding gender differences in negotiation behavior by conducting a randomized information experiment on the 2018 to 2020 graduating cohorts of undergraduate business majors from Boston University. Prior to starting their job search, treated students were provided with objective information about the gender gap in negotiation among their peers along with the earnings changes conditional on negotiating. We find sizable immediate effects on negotiation intentions that persist to actual negotiation behavior, particularly for men. While the treatment affects women's negotiation behavior through belief-updating, the effects on men's behavior are primarily through increased salience of the information. Further, we find some evidence that gender-specific treatment spillovers likely contribute to the smaller average treatment effects on behavior for women. Overall, our findings suggest that such information interventions can help to nudge women who have potentially large financial returns to negotiation to realize these gains.","Economics of Education
Labor Studies","Labor Economics, Demography and Aging, Labor Compensation",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32155,2024-02-19,Information-Based Pricing in Specialized Lending,"Kristian Blickle, Zhiguo He, Jing Huang, Cecilia Parlatore","We study specialized lending in a credit market competition model with private information. Two banks, equipped with similar data processing systems, possess general signals regarding the borrowers quality; the specialized bank, has access to an additional specialized signal. We study equilibria in which both lenders use general signals to screen loan applications. Conditional on making an offer, the specialized lender prices loans based on its specialized signal. This private-information-based pricing helps explain why loans made by specialized lenders have lower interest rates (lower winning bids) and better ex-post performance (fewer non-performing loans), which we support with robust empirical evidence.","Corporate Finance
Industrial Organization
Productivity, Innovation, and Entrepreneurship","Microeconomics, Market Structure and Distribution, Economics of Information, Financial Economics, Financial Institutions, Industrial Organization, Market Structure and Firm Performance",2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32156,2024-02-19,Content Moderation with Opaque Policies,"Scott Duke Kominers, Jesse M. Shapiro","A sender sends a signal about a state to a receiver who takes an action that determines a payoff. A moderator can block some or all of the sender's signal before it reaches the receiver. When the moderator's policy is transparent to the receiver, the moderator can improve the payoff by blocking false or harmful signals. When the moderator's policy is opaque, however, the receiver may not trust the moderator. In that case, the moderator can guarantee an improved outcome only by blocking signals that enable harmful acts. Blocking signals that encourage false beliefs can be counterproductive.","Industrial Organization
Political Economy
Productivity, Innovation, and Entrepreneurship","Microeconomics, Market Structure and Distribution, Economics of Information, Industrial Organization, Industry Studies",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
32157,2024-02-19,Declining Clientelism of Welfare Benefits? Targeting and Political Competition based Evidence from an Indian state,"Pushkar Maitra, Sandip Mitra, Dilip Mookherjee, Sujata Visaria","It has been argued that since 2014, under the BJP-led central government, welfare benefits in India have become better targeted and less prone to clientelistic control by state and local governments. Arguably this has helped to increase the vote share of the BJP vis-a-vis regional parties. We test these hypotheses using longitudinal data from 3500 rural households in the state of West Bengal. We fail to find evidence that the new “central” programs introduced after 2014 were better targeted than traditional “state” programs, or that the targeting of state programs improved after 2014. Households receiving the new “central” benefits introduced since 2014 were more likely to switch their political support to the BJP. However, changes in the scale, composition or targeting of these programs, in clientelistic effectiveness of traditional state programs or in household incomes, fail to account for the large observed increase in the voters' support for the BJP. Non-Hindus, especially recent immigrant non-Hindus, were much less likely to switch support to the BJP, even after controlling for benefits received and changes in household incomes. Our results suggest that ideology and identity politics were more important factors explaining the rising popularity of the BJP.","Development Economics
Political Economy","Public Economics, National Fiscal Issues, Subnational Fiscal Issues, Development and Growth, Development, Other, Economic Systems",2024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
32158,2024-02-19,How Do Voters Respond to Welfare Vis-a-Vis Public Good Programs? Theory and Evidence of Political Clientelism,"Pranab Bardhan, Sandip Mitra, Dilip Mookherjee, Anusha Nath","Using rural household survey data from West Bengal, we find that voters respond positively to excludable government welfare benefits but not to local public good programs, while reporting having benefited from both. Consistent with these voting patterns, shocks to electoral competition induced by exogenous redistricting of villages resulted in upper-tier governments manipulating allocations across local governments only for excludable benefit programs. Using a hierarchical budgeting model, we argue these results provide credible evidence of the presence of clientelism rather than programmatic politics.","Development Economics
Political Economy","Public Economics, Public Goods, Subnational Fiscal Issues, Development and Growth, Development, Other, Economic Systems",2024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
32159,2024-02-19,On Digital Currencies,Harald Uhlig,"I discuss private and central-bank-issued digital currencies, summarizing my prior research. I argue that prices of private digital currencies such as bitcoin follow random walks or, more generally, risk-adjusted martingales. For central bank digital currencies, I argue that they enhance the “CBDC trilemma” facing a central bank: out of the three objectives, price stability, efficiency, and monetary trust, it can achieve at most two.","Asset Pricing
International Finance and Macroeconomics
Monetary Economics","Macroeconomics, Business Cycles, Money and Interest Rates, Monetary Policy, Financial Economics, Portfolio Selection and Asset Pricing, Financial Institutions",2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32160,2024-02-19,The Long-term Effects of Inflation on Inflation Expectations,"Fabio Braggion, Felix von Meyerinck, Nic Schaub, Michael Weber","We study the long-term effects of inflation surges on inflation expectations. German households living in areas with higher local inflation during the hyperinflation of the 1920s expect higher inflation today, after partialling out determinants of historical inflation and current inflation expectations . Our evidence points towards transmission of inflation experiences from parents to children and through collective memory. Differential historical inflation also modulates the updating of expectations to current inflation, the response to economic policies affecting inflation, and financial decisions. We obtain similar results for Polish households residing in formerly German areas. Overall, our findings are consistent with inflationary shocks having a long-lasting impact on attitudes towards inflation.","Economics of Aging
Asset Pricing
Corporate Finance
Monetary Economics","Microeconomics, Households and Firms, Macroeconomics, Business Cycles, Financial Economics, Behavioral Finance, History, Macroeconomic History",2024,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32161,2024-02-19,ChatGPT and Corporate Policies,"Manish Jha, Jialin Qian, Michael Weber, Baozhong Yang","We create a firm-level ChatGPT investment score, based on conference calls, that measures managers' anticipated changes in capital expenditures. We validate the score with interpretable textual content and its strong correlation with CFO survey responses. The investment score predicts future capital expenditure for up to nine quarters, controlling for Tobin's q and other determinants, implying the investment score provides incremental information about firms' future investment opportunities. The investment score also separately forecasts future total, intangible, and R&D investments. High-investment-score firms experience significant negative future abnormal returns. We demonstrate ChatGPT's applicability to measure other policies, such as dividends and employment.","Asset Pricing
Corporate Finance
Economic Fluctuations and Growth
Monetary Economics","Econometrics, Data Collection, Macroeconomics, Consumption and Investment, Financial Economics, Financial Markets, Corporate Finance, Development and Growth, Innovation and R&D",2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32162,2024-02-19,English Language Requirement and Educational Inequality: Evidence from 16 Million College Applicants in China,"Hongbin Li, Lingsheng Meng, Kai Mu, Shaoda Wang","This paper studies the unintended effect of English language requirement on educational inequality by investigating how the staggered rollout of English listening tests in China’s high-stakes National College Entrance Exam (NCEE) affected the rural-urban gap in college access. Leveraging administrative data covering the universe of NCEE participants between 1999 and 2003, we find that the introduction of English listening tests significantly lowered rural students’ exam score percentile ranks relative to their urban counterparts, resulting in a 30% increase in the rural-urban gap in college access. Our back-of-the-envelope calculations suggest that, as a result of this policy change, more than 54,000 rural students lost college seats to their urban peers between 1999 and 2003, and another 11,000 rural students who elite colleges could have admitted ended up in non-elite colleges, causing them significant future income losses.","Economics of Education
Labor Studies","International Economics, Globalization and International Relations, Health, Education, and Welfare, Education",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32163,2024-02-26,The Cost of Money is Part of the Cost of Living: New Evidence on the Consumer Sentiment Anomaly,"Marijn A. Bolhuis, Judd N. L. Cramer, Karl Oskar Schulz, Lawrence H. Summers","Unemployment is low and inflation is falling, but consumer sentiment remains depressed. This has confounded economists, who historically rely on these two variables to gauge how consumers feel about the economy. We propose that borrowing costs, which have grown at rates they had not reached in decades, do much to explain this gap. The cost of money is not currently included in traditional price indexes, indicating a disconnect between the measures favored by economists and the effective costs borne by consumers. We show that the lows in US consumer sentiment that cannot be explained by unemployment and official inflation are strongly correlated with borrowing costs and consumer credit supply. Concerns over borrowing costs, which have historically tracked the cost of money, are at their highest levels since the Volcker-era. We then develop alternative measures of inflation that include borrowing costs and can account for almost three quarters of the gap in US consumer sentiment in 2023. Global evidence shows that consumer sentiment gaps across countries are also strongly correlated with changes in interest rates. Proposed U.S.-specific factors do not find much supportive evidence abroad.","Development of the American Economy
Economic Fluctuations and Growth
Monetary Economics","Microeconomics, Households and Firms, Macroeconomics, Business Cycles, Money and Interest Rates, Monetary Policy, Financial Economics, Regional and Urban Economics, Real Estate",2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
