strata,village_size,classrooms,class_size,hh_size,asset_index,mom_educ,dist_school,mom_caregiver,cg_literacy,cg_vocab,cg_digit_span,male,haz,enrolled,mom_age,health_invest,stim_activities,age_months,chores,receptive,expressive,fine_motor,literacy,enumerator
1042,32,8,43.5,5,.1429969,7,610.50487,1,0,1,5,1,.3627499,1,45,6,9,95,1,.8603939,1.608559,6,-.5421274,3
2012,21,8,15,7,-.6902707,6,654.43204,1,19,6,5,1,-2.188643,1,26,6,8,83,0,.1674998,-.9666378,6,-.4698614,2
1022,34,12,45.5,7,2.822942,8,432.74436,1,19,6,4,1,-.3636159,1,33,5,6,95,1,-.7485905,.5762699,6,-.0279551,4
1041,46,9,38.55556,9,-1.594014,9,394.55111,0,19,6,6,1,-1.748195,1,23,7,8,74,1,.1071424,.9232779,6,-.1853078,4
1021,37,10,25.7,6,-2.129943,7,597.67096,1,17,6,4,0,-2.742061,0,35,6,6,79,0,-2.377111,-2.129064,4,-.497312,1
2021,34,8,23.25,4,2.656249,12,518.26525,1,19,5,4,1,-.8523438,1,35,7,13,95,1,.8509515,1.187053,6,-.1152091,3
1031,17,8,29,4,1.717859,12,358.87538,1,20,6,7,0,-1.027424,1,29,7,10,78,0,-.4576411,.2891398,6,2.060755,2
2012,18,8,32.5,4,-.9466757,7,518.68995,1,19,6,4,0,.4782945,1,19,5,7,72,1,.8732183,1.000913,6,-.1342466,1
2011,24,8,34,6,-2.431445,8,569.33651,1,19,6,9,0,-1.112774,1,29,6,10,82,1,-.4545586,.7460821,6,-.4506413,3
2022,42,8,37.5,6,-.1849373,8,188.68356,1,18,6,4,1,-.8170011,1,38,7,14,83,1,.4198684,.3945248,6,-.5989507,1
1021,36,5,59,10,-.0456165,7,177.86971,1,0,6,3,0,.8455924,1,45,6,4,92,1,-.1264215,-.3487859,6,-.6187557,1
2012,29,9,39.66667,6,2.347754,8,207.9402,0,0,0,2,1,.5437868,1,45,5,11,77,1,1.157084,.9111475,6,-.47949,1
1011,19,8,15.875,5,.6270378,10,196.50219,1,20,6,6,0,.7559857,1,24,7,13,92,1,-.5301164,.3311707,6,-.4610432,2
1012,15,9,18.66667,9,-3.037992,8,176.96033,1,0,5,11,1,-.9801509,1,37,8,8,75,1,-.231748,.6736746,6,-.3945893,3
2022,33,8,29.75,5,4.269214,8,536.11329,1,19,6,5,0,-1.026699,1,31,6,13,95,1,.0436451,-.1443718,6,-.119295,1
1021,37,8,36.25,2,-2.758424,13,136.48955,0,18,5,5,0,.1273584,1,19,7,13,77,1,1.680853,.9662245,6,.1258098,3
1021,36,5,59,5,2.073851,13,181.16175,0,20,6,9,1,-.7504063,1,25,7,9,74,0,1.038532,2.275214,6,2.197714,3
2022,42,8,37.5,2,2.055829,13,448.62035,0,0,5,5,0,1.40308,1,24,6,6,95,1,1.306385,1.222247,6,.9287355,1
1022,43,9,25.88889,5,.1593719,7,413.73067,1,0,6,6,1,2.875283,1,48,7,6,88,1,.7614959,.2398069,6,1.641371,3
2012,21,8,15,2,1.204657,8,400.58126,0,0,4,3,0,-.3338387,1,33,6,11,82,1,1.331669,.8277928,6,-.3876284,3
2012,29,9,39.66667,5,-2.393312,4,384.30408,1,0,0,5,0,1.104121,1,49,6,8,85,0,.1015506,.9918067,6,.1987704,3
1011,28,7,12,6,.5626511,8,453.11696,1,20,6,7,0,-.5302944,1,31,6,7,84,1,1.60225,.1752077,6,.5064516,3
1021,44,8,23.75,9,-2.186006,8,533.81675,0,0,6,3,1,1.321588,1,22,7,3,89,1,1.35785,1.143754,6,.1213496,1
2012,29,9,39.66667,11,5.434295,10,216.27764,0,0,5,4,1,.6723442,1,40,6,12,90,1,.8628681,.7832148,6,-.6491665,4
2011,24,8,34,9,.2610533,10,564.31632,1,20,6,10,1,.6385919,1,38,5,11,90,1,.1427084,-.0768033,5,-.6187557,3
1021,41,6,41.16667,5,-.5432857,8,154.96033,1,20,6,4,0,-.1203839,1,27,7,8,73,1,.8541649,.8463008,6,.0635907,2
2022,33,8,29.75,3,-3.205835,9,353.74137,1,19,6,7,1,-1.434719,1,38,5,9,75,1,-1.764499,-1.200446,5,-.3258779,4
2022,47,8,41.375,6,-1.120575,7,642.59061,1,20,6,7,0,.6084523,1,28,5,9,94,1,.5037997,.1667835,6,1.023357,2
2021,32,6,24,8,1.858507,12,304.27907,0,20,6,9,1,-.0815551,1,25,6,15,84,1,.6180093,1.159231,6,-.3937952,3
1041,24,8,37.375,6,-1.316564,6,243.86126,1,0,3,4,0,-1.591401,1,31,7,7,90,1,-.1430294,-1.619714,5,-.6472669,3
1041,23,15,9.466666,8,.8903492,7,620.91394,0,4,5,2,0,-.4299838,1,40,0,8,94,0,.2257608,-.9369385,6,-.5569014,1
2012,18,8,32.5,3,2.903958,8,524.78284,1,20,6,8,0,.23192,1,33,5,11,93,0,.1306648,-.6124995,6,1.932343,4
1022,42,8,33.375,2,-2.392006,7,474.72288,1,0,4,3,1,-1.772527,1,28,7,8,87,1,-.5951768,-1.613333,5,-.6393582,1
2021,32,6,24,6,1.257683,6,710.03933,1,0,6,5,0,-.2219853,1,27,6,8,94,0,.5037997,.0302881,6,-.464655,1
1021,41,8,50,4,-.4544871,4,503.36467,1,0,2,5,0,1.064469,1,29,6,7,95,1,.1763504,.1099202,6,1.474338,4
1021,41,6,41.16667,4,.0415654,7,504.13174,1,19,3,7,0,-1.8732,0,29,6,4,72,0,.0416528,-.9120078,5,-.3611607,3
1031,18,9,32.77778,4,-2.646622,11,603.99202,1,20,6,7,1,-1.381962,1,27,6,10,79,1,-.7540997,.9111475,6,-.0844471,4
1022,42,8,33.375,6,-2.551719,6,632.71062,1,0,1,2,1,1.196259,1,42,6,4,73,1,1.271379,1.73444,6,-.2586672,1
2022,47,8,41.375,6,-1.18958,8,349.21967,1,19,5,6,0,-.4176707,1,30,6,8,87,0,-.0110802,.4196249,6,-.0707501,2
2022,33,8,29.75,6,3.411407,10,568.7654,1,4,2,3,0,.0867296,1,35,7,7,79,1,.0343403,.8820257,5,-.2866476,1
1022,43,9,25.88889,4,-2.377497,8,610.92432,1,19,5,8,1,-1.574524,1,43,7,4,82,1,.5354504,1.453596,6,-.3496352,2
1012,10,8,43.25,3,2.987258,12,145.03368,0,20,5,5,0,1.316662,1,25,5,2,87,1,1.000034,.6148099,6,1.717786,3
1041,23,15,9.466666,7,-.737929,7,277.61224,1,19,0,8,0,-1.322102,1,47,7,4,91,1,-.0110802,.6915367,6,3.785999,2
1031,22,8,40.625,6,-.7995845,7,575.84479,1,0,5,5,0,-1.297179,1,27,7,11,86,1,1.303159,.6667573,6,-.5251853,1
2012,26,8,50.5,6,4.287155,7,495.59149,1,11,6,7,1,-1.759379,1,31,8,14,78,0,-.3938038,-1.372325,6,-.3684407,4
1022,42,8,33.375,4,1.400521,8,485.38685,1,0,6,5,0,-1.033172,1,26,7,10,91,1,.196617,-.4405311,6,.3982086,4
1032,15,8,39.75,6,-3.467214,7,562.64977,1,0,5,6,1,1.440742,1,25,7,6,72,1,-.3065667,-.6414988,6,-.3611607,1
2021,32,6,24,5,.9865611,8,75.053727,1,20,5,7,0,-.3715993,1,23,5,7,88,0,-.3363839,-1.800249,6,-.4840416,3
2021,38,9,38.55556,5,-2.453364,5,439.69482,1,0,4,4,0,1.432221,1,29,6,14,85,1,.3043659,.8344425,6,-.4268999,1
2012,18,8,32.5,10,-.9663056,8,494.12498,1,16,6,9,1,-1.257739,1,34,6,8,84,0,-.2733824,.4787047,6,-.4017512,4
1022,43,9,25.88889,5,-1.015341,6,95.591985,1,0,6,5,0,-3.113493,1,35,7,15,90,1,-1.990317,-1.075891,6,-.6472669,1
2022,45,8,30.375,6,-.3881215,8,742.15762,1,20,6,6,0,.3956198,1,29,5,11,85,1,.5613781,1.378393,6,-.0728029,2
1032,15,8,39.75,7,1.113765,7,449.63043,1,0,4,5,0,-.877699,1,29,7,7,85,1,-.968159,-.6944053,6,-.506744,1
1012,10,8,43.25,6,.8466969,7,222.64895,1,0,2,1,1,1.103655,1,30,7,6,85,1,.2359843,.3425995,5,-.2358553,3
2011,27,8,26.25,6,.258158,8,764.41324,1,20,4,6,1,2.940821,1,43,7,11,73,1,.942353,2.027375,6,-.1595552,4
2021,31,9,14.11111,8,-1.95609,8,197.45809,1,18,6,6,1,-1.075651,1,26,6,6,75,1,-.5764464,1.507892,6,-.2810063,2
1011,19,8,15.875,8,.6474096,7,545.17711,1,18,5,10,1,-1.491915,0,34,7,8,72,1,.4564135,.5176969,6,-.3320266,2
2022,37,8,38,5,.3702243,8,543.99147,1,14,6,6,1,-.6189798,1,30,7,9,73,0,-1.113678,.4598536,6,-.3979185,2
1021,41,8,50,5,-3.396441,8,463.85307,1,19,4,6,0,.9583654,1,31,5,8,94,1,.1763504,-.5712793,6,-.5263062,1
2022,40,9,28.55556,3,-1.045666,5,486.30399,0,0,1,6,1,-.6680575,1,19,6,9,90,1,-1.741201,-1.436717,6,-.7324257,2
2021,32,6,24,7,1.336168,11,262.93743,1,19,4,6,1,-.6852443,0,28,7,13,78,1,-1.896449,-1.179109,6,-.497312,3
2022,47,8,41.375,7,2.239075,8,408.22745,1,20,6,7,1,-2.080532,1,33,5,12,92,1,-.097267,-.4350394,6,-.6054721,3
1032,21,8,46.5,3,1.882861,9,395.16383,1,20,6,7,1,.3310278,1,31,6,11,85,1,.2936841,1.075106,6,-.5436267,4
2022,45,8,30.375,5,-.563935,8,715.54504,1,19,5,8,0,-1.029733,1,29,6,12,87,1,.9655617,1.279681,6,1.603067,2
2021,34,9,38.77778,9,2.857945,9,365.76544,1,20,4,8,1,.6276936,1,29,7,16,82,1,1.727309,1.672306,6,-.1446457,2
2012,24,8,21.25,5,-.9965851,12,698.40882,1,20,6,6,1,-2.26946,1,29,6,9,86,1,-1.053562,-.8477289,6,-.4510247,3
1032,21,8,46.5,3,-2.105714,8,293.01531,1,20,6,10,1,.6883041,1,27,6,11,79,1,.9181865,1.860094,6,-.1283408,2
2021,35,8,36.5,7,.0463731,6,730.41359,1,0,6,6,1,-1.786492,1,27,5,6,93,1,-.5592161,-1.021684,6,-.4948274,3
1021,37,8,36.25,8,.0753838,7,621.51533,1,0,4,3,0,-.3571047,1,45,6,14,77,1,-1.051667,-.5233618,4,-.4604929,2
1022,34,12,45.5,8,.7786046,8,205.97616,1,0,3,6,0,.2985838,1,33,6,6,84,1,.2266089,.3113076,6,-.0698945,4
2021,32,6,24,6,2.50799,7,193.1668,1,0,5,7,1,1.036068,1,43,5,9,88,1,.5167163,.6915367,6,.2626547,2
2022,45,8,30.375,5,-1.527349,4,664.64064,1,18,6,5,1,-1.698441,0,24,6,12,75,1,.0030722,-.0031755,5,-.4180927,2
1022,34,12,45.5,5,5.045516,12,448.08139,1,20,6,8,0,.9309033,1,24,7,9,79,1,.9875231,-1.043401,6,.6381359,4
1022,38,8,42.25,9,1.137794,6,402.32228,0,0,2,3,1,-.2568592,1,28,6,3,80,1,1.468185,1.263632,6,-.2561062,1
2022,45,8,30.375,7,1.817465,8,166.79184,1,20,5,9,1,1.495035,1,37,5,10,88,1,.4631174,1.870989,6,-.3070838,2
1022,38,8,42.25,8,.8982143,4,352.31251,1,0,4,1,1,.7290569,1,32,5,11,85,1,.5460528,.530641,6,-.4883027,3
2022,47,8,41.375,5,7.998847,10,359.35889,1,20,5,9,0,-3.481131,1,33,6,9,93,1,-2.490883,-2.658422,5,-.7765425,2
1041,24,8,37.375,7,-.7489145,6,184.34919,1,0,5,10,1,-1.696349,1,30,6,7,85,1,1.429343,.8028736,6,-.5251853,3
2012,26,8,50.5,8,-.168428,8,711.18977,1,19,6,5,0,-1.123326,1,37,7,10,80,1,-1.132088,-1.213174,5,-.5472059,4
2021,38,9,38.55556,5,.4920847,8,357.51869,1,19,6,6,0,-1.16556,1,22,6,10,90,1,.4118384,1.28311,6,.3592241,4
1041,23,15,9.466666,8,1.876041,2,300.25589,1,19,4,5,1,2.27332,1,39,6,14,94,0,-.1814407,-.1204345,6,-.668972,4
1021,37,8,36.25,5,-1.616482,8,525.37304,0,20,2,9,0,.8043839,1,37,6,11,88,1,.5732735,.4641212,6,-.3539108,3
2011,14,8,30.5,5,.4220838,5,655.27669,1,0,4,4,1,.5799271,1,25,5,8,77,1,.9875231,.4493852,6,-.4758506,1
1042,28,9,52.44444,5,.7184419,8,200.38966,1,20,5,7,0,.3956183,1,30,5,8,88,0,.5613781,-.5254329,6,.0795568,1
2022,40,9,28.55556,7,1.994831,8,150.3147,1,0,4,3,0,-.0967583,1,23,8,17,90,1,-1.337506,-.7567599,6,-.6674714,2
1031,18,9,32.77778,8,-1.216569,6,445.21728,1,17,1,6,0,-2.184561,1,35,7,8,86,1,.4198684,1.891804,6,2.70383,4
2021,38,9,38.55556,4,-.3143311,7,524.03536,1,19,5,8,0,-.6271383,1,22,7,5,79,0,.4010146,-.7492979,6,.5119577,1
1042,32,8,43.5,5,1.072646,5,530.30072,0,0,4,1,0,-.3587115,0,40,3,4,77,1,-.0482678,-.059665,5,-.2332873,3
2021,34,9,38.77778,3,-.926127,13,323.46728,1,20,6,10,0,1.891209,1,24,5,14,73,1,1.059763,.2675645,6,-.2770723,4
1012,21,8,21.25,4,-1.913738,10,133.56576,1,19,6,4,0,.6270686,1,24,7,9,73,1,.9029313,1.44882,6,.0160594,2
1021,44,8,23.75,4,-1.536642,8,516.23357,1,20,4,5,0,-2.091857,1,23,5,11,86,0,-.3372374,-1.102754,6,-.5989507,4
