strata,village_size,classrooms,class_size,hh_size,asset_index,mom_educ,dist_school,mom_caregiver,cg_literacy,cg_vocab,cg_digit_span,male,haz,enrolled,mom_age,health_invest,stim_activities,age_months,chores,receptive,expressive,fine_motor,literacy,enumerator
2012,24,8,21.25,5,2.622579,8,328.36469,1,19,6,10,0,-.246169,1,25,7,10,93,1,-.0073114,-1.158079,6,.949757,3
2011,14,8,30.5,8,2.971742,12,293.3134,1,20,6,6,1,.9615533,1,22,6,10,78,1,.5753311,.1215136,5,.0675631,4
2021,34,9,38.77778,4,-.1565693,7,721.68001,1,19,4,5,1,-1.875941,1,23,6,13,81,1,-1.077529,-.0434027,6,-.4079357,3
1021,41,8,50,6,-1.204998,3,225.98237,1,0,1,1,1,-2.270402,0,33,8,8,79,1,-2.857773,-2.40048,1,-.497312,1
1012,21,8,21.25,4,.3296505,8,648.12101,1,19,4,7,1,.3045931,1,25,6,8,87,0,.4906676,1.023125,6,2.518872,3
1021,41,6,41.16667,5,-2.290809,4,554.91498,1,0,5,2,1,-.4504321,1,33,5,6,92,1,.1427084,-.7567599,6,-.57004,3
1022,42,8,33.375,7,-1.547623,7,482.21265,1,13,4,9,1,-2.645757,0,39,6,4,90,1,-1.858368,-2.163538,5,-.6977801,4
2021,35,8,36.5,6,1.5568,8,531.16492,1,20,6,7,1,-.4743895,1,41,6,6,95,1,.1839496,.2656138,6,1.090947,2
2021,32,6,24,6,-1.409269,8,701.92736,1,19,6,6,0,-.499331,1,41,7,14,87,1,.834799,.1922679,6,1.016925,1
2011,14,8,30.5,7,-.4274303,6,442.37135,1,0,5,6,1,-.1282757,1,29,6,9,79,0,1.012138,.2023076,5,-.4711405,4
1022,34,12,45.5,8,.7786046,8,205.97616,1,0,3,6,1,-2.933326,0,33,6,5,76,0,-1.229017,-.8718622,5,-.1643118,4
1022,36,8,35.25,5,1.180185,12,524.48693,1,19,6,6,1,.1440157,1,25,5,12,80,1,1.544466,.8005311,6,-.221428,3
2021,38,9,38.55556,6,-1.629056,8,344.94738,1,0,6,6,0,.4027707,1,32,6,6,83,1,.1674998,.530641,5,-.1010347,1
2012,26,8,50.5,8,.3761269,8,732.07743,1,20,6,4,0,-.2927727,1,34,5,12,85,1,.0473537,.0185172,6,-.4446048,4
1022,42,8,33.375,7,-2.982792,7,406.02122,1,0,5,3,1,.4381713,1,29,3,11,84,1,.2266089,.3113076,6,-.3914086,2
